Fon,French
Bo na bi ɖo nu e xɔ gbe a ja bo wa axi ɔ mɛ ɔ,Et tu dois être rapide pour acheter au marché
a yi gbe nyidò,tu as mal répondu
é tún hùn b'ɛ́ sa tɔ̀,il a craché du sang abondamment
e wlí i nú xwe wè,on l'a condamné à deux ans de prison
nɛ gbɔn  yi,pourquoi  est
heélu un sá,je dégage toute ma responsabilité de cet acte
Mɛ gɔ́n a xwè ?,Chez qui vas-tu ?
jɛ xayà,du sel réduit en poudre
mi gba dó,dispersez
Ye nɔ nɔ kplekple mε ɖo zun ɖaxo mε ɖo agun ɖe lε tεntin.,"Ils habitent par groupes dans la forêt, entre les autres tribus : "
gankpámɛ́cɔ́tɔ́ nyi hawùn bo fɔ́n,le gardien de la prison se leva en sursaut
Kofi nɔ yi azɔmɛ ɖo ganmɛ,Kofi arrive à l’heure à l’école.
mε a ɖɔ xo na,a qui as-tu parlé
É ɖò anɔ ná vì tɔ́n wɛ̀,Elle donne le sein à son enfant.
doto ɔ ɖo bo wli nu azizonnɔ tɔn lε wε,le médecin soigne ses malades
hwε lo fitεnu wε nyi we,et toi tu es d'où
Gingin wu tɔn ganji n'i mɛ,Frotte-le bien qu'il soit propre
e hɛ̀n linlin ce gblé,il a gâté mon plan
é kpɔ́n wunvɔ mì,il m'a regardé de travers
mɛ tí wá ă,personne n'est venu
hlɔ̀nhlɔ́nmásín - hunsintínkέn,fortifiant
nă mì hú mɔ̆,donne
e wa xwe gbe dɛdɛ,il revient lentement à la maison
Mɛ é ká wà nù xá ? - Nɔví tɔ́n wɛ́ é wà nù xá,Contre qui a-t-il agi ? – C’est à son frère qu’il s’en est pris.
Akpadúdó tɔ́n bú nu,Il n’a pas tenu sa promesse.
E tuun ɖɔ un na wa.,Il sait que je viendrai
e yá ló à,est-ce prêt maintenant
Bɔ un si nɔ gudo tɔn ɖe jɛ xa gbɔn a,Et je ne peux pas rester derrière lui pour l’accompagner.
E ɖo xwegbe,Il est à la maison
mɛ bì yí hàn ɔ́ siì,tout le monde a repris le refrain avec vigueur
Kan vɔ̆ wɛ̀ un ka wá xò,Je me suis donc démené pour rien.
e nɔ́ klá jɛ̀ nù nu,il est prétentieux
Alɔ tɔn jlɔ ă,Il est maladroit.
agoo vie,marque le refus
E kpi tan tɔn nu we a wε à ?,On ne t’en a donc pas raconté l’histoire ?
gaga,longue
yì agbasá nú vĭ,aller consulter pour trouver le nom d'un nouveau-né
E xɔ̀ sun ɖokpó ɖò fí,Il est resté un mois ici.
Lɛ ɖɔ kpɛɖe nu mi ɖe ji,Dis-moi un peu en plus
"E ci sika ɖɔhun, e ka nyi sika ă","C'est comme de l'or, mais ce n'est pas de l'or."
Tɔjihun ko sin tɔjihunglitεn ɔ.,Le bateau quitte le port 
Mi ɖo na si sεn ɔ.,Vous devez obéir à la loi.
Sɔ́ agbàn tówé wá nú mì,Apporte-moi ton assiette.
Mì nà lɛ́ mɔ̀ mìɖéé ɖò dinzaanɖé,Nous nous retrouverons dans un moment.
é ɖé dò nú mí bĭ,il a raconté tout ce que j'ai fait
ényí wá wɛ́ a ko wá dó hwénú ɔ́ mì nà kó ɖù nŭ bó ná kó ml'àyĭ xóxó,si tu étais revenu à temps nous aurions déjà dîné et nous serions depuis longtemps couchés
klo à,est-elle grande
A na xa so ɖaxo ɔ ji,Tu dois monter sur le grand rocher.
ajalalasá,salle de rassemblement
Azinzɔnnɔ ɔ hɛn nukiko,Le malade garde le sourire.
sin zinzin,eau décantée
Etε wutu azinzɔnnɔ ɔ ma ɖo nunu wε ă ?,Pourquoi le malade ne boit-il pas ? 
hɛn mi ɖo tè syɛ́nsyɛ́n,tiens-moi solidement
Ooo !,Bon !
Jɔhon ɖo sinsin mi wε.,J'ai froid
Xo  tɔn gba gbĕ bi,II répand son histoire partout
owè - wè,deux
lè hwénu,en ce temps-ci
Ye jinjɔn yɛtɛn atin ɖe sa,Ils se sont assis à l'ombre d'un arbre.
nùvíɖogbɛ lɛ́ ɖo tagba dó nú ayikún ce wɛ̀,les insectes abîment mes haricots
Enyi e ɖu mɔlikun ɔ,S'il mange du riz.
Fitε a ɖe ?,Où étais-tu ?
nàhún ?,lequel précisément ?
ee nyi ɖɔ linlin ɖokpo ɔ ɖuɖo nu acɛ sisi kpodo mɛdesunɔsi jijɛ gbɛtɔ tɔn le wɛ nyi nu taji ee na zɔn bɔ mi na nyi sɛn elɔ lɛ e ɔ,considérant qu'une conception commune de ces droits et libertés est de la plus haute importance pour remplir pleinement cet engagement
ma t'aɖŭ atínkɛ́n ɔ́ jí ó,ne croque pas ce comprimé
nu vεεn ahan fifa elɔ,il faut boire ce vin frais
klɔ́n sú,annuler un pari
biba - gbèjègbéjé - kéjékéjé - kíjékíjé - nùbákpɔ́n,recherche
"Mɔ ɖokpo ɔ, a lɛ ja wɔ ɖa gbe ɔ","  Comme ça, si tu veux encore préparer la pâte"
É fyán mɛ,Cela est surprenant.
un gbɔ̀ bo gɔn yiyi,je me suis résigné à rester
"Hwenu ɖe hweyivɔ yi hɔ byɔ, nukunmε tita vi kpεvi Boako tɔn zawe gbɔn to ɔ bi mε.","Lorsque le soleil disparut, le visage étincelant de la petite boako apparut dans le firmament, éclairant de son regard tout le pays : "
E nɔ kɛ́ɖɛ́ nùsúnnú,On épaissit la sauce.
"Eo, Flansɛɛ wɛ un nyi","Non, je suis Français."
ani ka ɖo jijɛ wɛ̀,qu'est
Zàn bɔ nu,La nuit est tombée.
wiwi cúcú,noir foncé
hùnhún ta,remuer la tête
awekikε - kláklá,action de se pavaner
E vá dó wú yè,Il leur est apparenté.
Winya ɖona hu mi.,Vous devriez avoir honte de vous.
Un ɖó gbe n'í,Je lui ai rendu compte.
tere sɛn sɛ bo xya ɖo hwezivɔ gbe,tere coupa de la paille qu'il fit sécher au soleil
páskwa xwe ɖò sisɛ yá wɛ̀,la fête de pâques approche
awovi ɖokpo yawun jɛ,un accident est si vite arrivé
xo mɛ kpodo ba kpo,frapper avec un outil
"E cí xasu ɖɔhùn, e kɔn sin d’e mɛ ɔ́, é nɔ́ tɔ́n",C’est un panier percé.
Vi ɔ hwla ɖo zan ɔ gwlε.,L’enfant est caché sous le lit 
é ɖè é tɔ́n,il l'a mis à la porte
nutɔtɔ ɔ ɖo rɔbu lε blo ɖo wε,la couturière répare les robes
E ná ná alɔkpénùjí togun tɔ̀n,Il donnera la puissance à son peuple.
Ye ɖo xwe tantɔn. Xoxo we nyi ye,Ils ont huit ans. Ils sont jumeaux.
Nusɔnu ɖe ma nyi bawa : Akwɛ wɛ xɔ vavo.,Aucune sauce n'est donnée gratuitement. C'est avec de l'argent qu'on a acheté du piment.
mì nì vɛ́ nɔ kpɔn alí ganji,regardons bien la route
fɔnlínnɔ̀ - likpánɔ̀,fainéant
Jɛ̌ ɖo tó cé mɛ̀ bó ɖò ɖuɖu mi wɛ̀,J’ai une perle dans l’oreille qui me fait mal.
afɔ tɔn gɛ́dɛ́,on ne sait pas ce qu'il fait
bo yi,sors de là
hwe e nɛ ɔ nu ɔ lɛtliki ko ɖe a,a cette époque
Zan ɖe ɖyɔ e na xa gbεtɔ livi tantɔn ɖo Londres,Il y aura bientôt huit millions d'habitants à Londres.
Agban ɔ́ j’ayĭ bó hánnyá,Le plat est tombé et s’est répandu en morceaux.
beninu wɛ a nyi à,es
agbadénɔ̀ - gbadénɔ̀,vendeuse de maïs
Kɔxo mɛ tɔn ta,Cour de la concession.
Vì ɔ̀ gblé b’ɛ yí kɔ̀n,Cet enfant est complètement gâté.
e ɖo koklo yetɔn ylɔ wɛ,elle appelle leurs poules
kpò zɔ̀n,faiblir dans la marche
Xó ɔ́ ɖó adohu jí,Cette parole cause l'effroi.
un ɖo avi ya wε a,je ne pleure pas
mi kpa mawu,dieu soit loué
Mɛtí sìgán hwlɛ́n mɛ gán Jezu Klístu mɛvò ă,Personne ne peut se sauver sans Jésus-Christ.
Ayihunmlimlixotɔ lε ɖo ayunmlimli nyi ɖo yeɖee wε,Les joueurs se lancent la balle.
Un xwe Gboa ɖo Bonu kanmɛ,Je vais à Gboa dans la commune de Bonou
A ná jó hwiɖéé dó nú yà wɛ̀ à ?,Tu vas te résigner et te laisser aller à la souffrance ?
é nɔ́ ɖì zɔnlìn alɔkpa ɖè,il a une drôle d'allure
E ɖo xwe wewe,Il a 12 ans
mɛ̀ ká wɛ̀,qui est
É sùn fɛn mi yéwún,Il m’a pincé rapidement.
Nu a jlo na tuun nugbo ɔ.,"Bon, je vais vous dire ce que nous allons faire"
tɔ tɔn wa ɖɔ n'i ɖɔ,son père le réprimanda et lui dit
etɛ sin hu do a ɖo,de quoi as
ɖɔ̀ nŭ nyidò nú mε - kὲ nu nyanya dŏ mε wŭ,mal parler de quelqu'un
"A ɖɔ nu mi ɖɔ a na ɖo wemaxixatεn, a ka ɖo finε ă.","Tu m'as dit que tu serais à la bibliothèque, or tu n'y étais pas : "
gbɛtɔ́ élɔ́ dé avŭn tɔ̀n b'ɛ́ sè tó nú n'í ɖésú,cet homme a apprivoisé son chien et il lui obéit très bien
dafέ - xò dafɛ́,tenir des propos badins
gbò dè,empêcher la contrebande
gbɛtɔ́ élɔ́ dé avŭn tɔ̀n b'ɛ́ sè tó nú n'í ɖésú,cet homme a dressé son chien et il lui obéit très bien
e dó mì,cela me tente
yi a wɛ a,est-ce que  n'est pas parti
fifa,fraiche
E ni na gu wɔxuxu ɔ o,Il ne faut pas gaspiller le pain
un j'ávalú wè,je te rends hommage
Atinsinsεn tε a nɔ ɖu ?.,Tu manges quoi comme fruit ?
un zɛ̀ wù tɔ́n ɖò wezun mɛ̀,je l'ai dépassé à la course
Kɔ ɖo ye xu wε din.,Ils meurent de soif 
Ɖe tε Kofi ɖu ?,Lequel Kofi a mangé ?
zàn bi nu,à la tombée de la nuit
Azinzɔnnɔ ɔ ɖo amasin vεsεvεsε nu wε,Le malade boit une tisane amère.
É hlún nù ɖɔ́ dó jĭ cè,Il a murmuré contre moi.
mi ɖo saɖi wɛ ɖo ali lɛ ji,vous flânez dans les rues
Azɔ̀ é wà mì ɖé ɔ́ ɖò yiyi wɛ̀ linsinlinsìn,Le travail que nous faisons va normalement.
e su sɔ̀ zănzăn,a demain matin
Bo nu un nu ɔ,Si je bois.
e sù ă,c'est insuffisant
Un ɖù ɖò jĭ tɔ̀n,Je l’ai battu.
Mi xwixwe,Restez tranquilles.
hwɛ lo a ɖo gangi a,et toi est
e ɖo wɔxuxu ɖu wε,il mange du pain
É nyi gɛ̀n,Il a fait une poussée en avant de l’organe en érection.
dŏ koɖĭkoɖĭ - dŏ koníkoní - dŏ wìníwìní - hìhí wŭ,chatouiller
un nyi mɛxo nu wé,je suis plus âgé que toi
atin ɔ ɖo koklojonɔ ci wɛ bɔ ama tɔn lɛ ɖo ayi jɛ wɛ,l'arbre jaunit et perd ses feuilles
E jló Măwù ɔ́,S'il plaît à Dieu.
un na kísá agbadé nabiɖé bó ná yí lí ɖò mɔ mɛ̀,je vais égrener quelques épis de maïs pour aller les moudre au moulin
fitɛ un na dɔ egbe zanmɛ gbadanu,où vais
E gbo adɔ bo ɖɔ xo,II a parlé sans peur
Ayi tɔn ɖo wɛ̀n,Il est droit.
Kpé nukún hwiɖéé wú,Surveille-toi.
Ayi tɔ̀n bì gbà dó,Son coeur est complètement troublé.
Sin zanzan wa yi gbadanu,Du matin au soir
fán asú mε wŭ,enlever de force
fomεyikún - foyikún,haricot de la petite saison sèche
un kéyà ná ă,je n'y attache pas d'importance
égbé tɔ́n kó wá yí nɛ́ é kpò sɔ tɔ̀n,les préoccupations d'aujourd'hui sont passées il reste celles de demain
Kɔ́fu ɔ gbá hánnyá,Le verre est cassé en morceaux.
Zìnflú dó ɖò xɔ towe mὲ,Il fait sombre chez toi.
É ɖó jŏ,Il est gras.
ɖŏ dò,être au fond
folo vi ɖagbe ɖagbe ɖe lε hwla ɖo atin lε sin ama gwlε,sous les feuilles des arbres se cachent de petites fleurs
Kutɔnu nyi toxo ɖaxo,Cotonou est une grande ville.
mi nɛ tɛnkpɔn,prenons le risque
jὲ hwὲ mὲ,tomber dans une faute
É flé nukún,Il a les yeux révulsés.
nɛngbé,dos
gbà vă - klá - kὲ awà - kὲ awè - xlέ àcɔ - zyăn kɔ̀,se pavaner
E nyí mɔ̆ hŭn,S'il en était ainsi.
nùkánbyɔ́ mɛ dó nùxíxá ɔ́ wú,cherchez à répondre à la question à la lumière de ce texte
É nɔ́ ɖɔ̀ lɔ̆ya dín,C’est un grand blagueur.
kanɖe nukun ɖokpo,41
A kɔn nyì mì jí à ?,Tu nous es venu ?
Jean ɖo ɖa wlowlo.,Il a les cheveux frisés
Gan atɔn e kpo ceju wo we.,Il est 2 h 40 
zὲ atín,débiter un tronc d'arbre en planche
Vi lε ɖo awajijε mε ganji a,Les enfants ne sont pas trop heureux.
E yi hwetεnu ?,A quand ?
Kεkεvi ɔ byɔ bɔ mε,Le chariot est embourbé .
Winya ɖo na hu we.,Tu devrais avoir honte
ɛɛn un nɔ wlan tawun,oui je sais très bien écrire cela
Kɔjó nyi agban tɔn lɛ́ bì dó gbĕ,Codjo lança tout son fardeau au loin.
Gbenyatɔ ɔ ɖe tu tɔn.,Le chasseur décroche son fusil
"Un se ɖɔ̀ a jì vĭ, kú dó ajamɛhínhɔ́n !","J’ai appris que tu as accouché, félicitations !"
vi ɔ jɛ hwan ɖe lɛ ji bo gble wu ɖo koli,l'enfant tombe sur des cailloux et se blesse aux genoux
"Azan ɖe jε finε lε ɔ, e lε vɔ fin wema we","Deux semaines après, il vola de même un livre et un cahier."
E sìxú kplɔ́n ɛ̀ ă,On ne peut l'éduquer.
Ku sɔ,Salut (merci) pour hier.
afɔdógbè,adultère
lanmɛ ce yá ă,mon corps n'est pas rapide
é sɔ́ asyɔ́ví dó gbo atín ná,il a coupé l'arbre avec une hache
Un nɔ nɔ Kutɔnu,J'habite Cotonou
Alɔ atɔɔn,Cinq bras.
ɖè wĕ dŏ wŭ,chercher une solution à quelque chose
Un ɖo wemaxixa ce hwe nu ye wε,Je leur prête mon livre.
sà tɔ̀,former une rivière
Un xwe gbe dotoxwe,Je vais au dispensaire
e n'abɔ̀ xwíwún,il s'est tu brusquement
E tuun bo blo ă,Il ne l'a pas fait exprès
e nɔ́ bà mɛmɛ mì,il cherche à s'approcher de moi
Un ɖi ɖɔ un kun ɖo tagba do nu mi wε o,J'espère que je ne vous dérange pas.
dŏ alɔ̀ mε,aider quelqu'un
Nε a fɔn gbɔn ?,Comment est-ce que tu t'es réveillé ?
Yĕ jɛ tagba glolo,Ils ont fait du tapage pour rien
Kɔku nɔ wli nu ɖɔ din,Koku parle beaucoup.
blò énɛ́ vivi,fais au moins cela
"E xo mi, enɛ wutu wɛ un ya vi i","Il m'a tapé, c'est pourquoi j'ai pleuré"
"Din ɔ́, mi tuùn ɖɔ̀ é yì tɔ́ tɔ́n gɔ́n, bó ná dó bló tɛn mɛ ɖ’áyì nú mĭ",Nous savons désormais qu’il est allé vers son père préparer une place pour nous.
Un ɖo maga xɛlu kpɛvi ɖu wɛ kpodo jivi ɖiɖa kpo ɖo atin sa ɖo alito bo lo zɔnlin ɖi wɛ,Je mange une petite mangue verte avec un couteau tranchant sous un arbre au bord de la route en marchant doucement.
Măwù nà kpɔ́n jì tówè,Dieu veillera sur toi.
Ma na hɛn vlɛ ɔ na bɛ,Le spectacle va commencer.
Lin tamε kpɔn cobɔ ze gbeta towe.,Réfléchis avant de prendre ta décision 
E mɔ̀ akwɛ́ gègé,Il a beaucoup d'argent.
ðó lazá sɔ́ kpó ɖò gbɛ̀ ɖ'ayikúngban jí fí ă,car lazare ne vit plus sur cette terre
e nă yì,on ira
nyàví nɛ́ ɔ́ nɔ́ sà lelè,ce garçon est désoeuvré
Un xɔ̀ gbawunjo tɔ̀n,Je l'ai acheté à vil prix.
azɔlì,cheminée
nă sɛ́núnywɛ́ é nɔ́ xlɛ́ gbɛ'li mɛ é mĭ,donne-nous la sagesse qui montre le chemin de la vie
un ɖo houégbé,je suis à la maison
jɔhon nɔ gbɔn nukpεn gbigba ɔ nu,le vent souffle par la vitre cassée
e vɔ̀ bì sésé,c'est complètement fini
é sú hɔ̀n dó mì,il a fermé la porte sur moi avec une intention hostile
É dó hɛ̆n mì,Il a sali mon nom.
un ɖo akwε bo na xɔ nuɖuɖu ɔ,j'ai assez d'argent pour payer le repas
malεnu ɖo koran xa wε,le musulman lit le coran
"Ɖo azɔxɔ mε ɔ, Michel nɔ nɔ xwii.","En classe, Michel reste tranquille"
E nɔ́ mɔ̀ nukúnnú ă,Il ne voit pas.
Kofi w'azɔ co bo ka mɔ kwε ă.,"Kofi a travaillé, pourtant il n'a pas eu d'argent : "
É sɔ́ gle tɔn sa ɖù,Il a vendu son champ pour dépenser l’argent sans plus.
mε ɖo zan ɔ kpa,qui est à côté du lit
jὲ lĭkpà mὲ,tomber dans l'indigence
é gba wigo cè,il a révélé qui je suis
ɖè anyŭ - ɖè fló - ɖèanyŭ - kɔ́n - kɔ́n anyŭ,dépouiller
e wá d'álɔ mì,il est venu à ma rescousse
ɖă hùn - ɖă hùn nú mε - ɖɔ̀ hwὲ gbò - ɖɔ̀ hwὲ nú mε,réconcilier
nùɖúdíngán - winwan,gourmandise
Mi hεn ɔ mi na ɖɔ fiɖe na mɔ sunnu lε sin wulεkpa ɖe ɔ a.,"Pouvez-vous aussi me dire où je peux trouver les toilettes pour hommes, s'il vous plaît ? : "
azɔ gɔ́ xɔ ɔ́,la maison est remplie de fumée
satɔ́ - vìvέ - vὲná - zɔnjɛzɔnfɔ́n,cher
kanɖe ko nukun ɖokpo,61
Ablahámu kpódó aɖimɛví tɔ́n kpán wɛ̀ Măwù d’ákpá ná,C’est à Abraham et à sa descendance que Dieu a fait ses promesses.
katekísmu wĕmà,le livre de catéchisme
Ye jinjɔn yεtεn atin ɖe sa,Ils se sont assis à l'ombre d'un arbre.
Un ko wá,Je suis déjà là.
syέn ta,oser courageusement
Un na kun kεkε ce,Je conduis ma bicyclette
slέ - tì - xwè - zĭn,tasser
Amaga ɔ atinsinsεn kpo kwi kpo wε.,La mangue est un fruit avec un noyau 
Zan gblɔn ahwan nu we,La nuit te menace
E zɔ́n azɔ̆ mì,Il m’a commandé un travail.
Jijiwemabiblo tiin ɔ e klo,La mairie est très grande.
toxomε,ville
Mawu blo nu lε bi,Dieu a tout créé .
é xúxú hɔn nú mì gogogò,il a frappé à ma porte
E nyɔ́ nú mì ă,Je suis indisposé.
go yiyi tɔn,son égoisme
E kpò,Encore !
Un tuwùn tawùn ă,Je ne sais pas au juste.
xò ɖὲ nyanya,maudire
A fɔn kɛɖɛ à ?,Est-ce que tu t'es bien réveillé ?
E jε zɔnlin ji tlolo,Il sait à peine marcher
etɛ mi na ɖu ɖo gan wewe mɛ,qu'est
E gɔn xwe,Il s'est absenté
e xɔ zò,il a pris feu
a ko yi bɛnɛɛ kpɔn à,es
ma jɛ̀ tagba ɖó énɛ́ ɔ́ wú ó,ne te dérange pas pour cela
Mi ɖo jijɔ bo nɔ ɖe nu xixa mitɔn lε,Nous avons l’habitude d’illustrer nos récitations .
Aglobese lε ɖo agwin lε mi wε.,Les crapauds avalent les escargots 
abĭ ?,ou bien ?
Vi ɔ su xo,L'enfant s'écria
nyavi dɛ̆,ce garçon
Mi go alɔ nu mi.,Aidez-moi 
Wlĭ alɔ̀,Se marier selon le rite chrétien
A nɔ se gbe n'i,Tu lui obéis.
Un ɖa ɖo myɔ yeɖe ji.,Je cuis sur feu doux
ɖa,cheveux
Nuɖanu gege ɖo 'frigidaire' ɔ mε ɖayi.,Il y avait largement assez de provisions dans le frigidaire 
Nuxwenu ɖaxo ɔ kpɛn,Le gros marteau est lourd.
Un yi aximɛ̀ ă ɖó jĭ jà,Je ne suis pas allé au marché car il a plu.
E ɖɔ nu nyaɖe ɖɔ asi tɔn kun nyɔ ɖεkpε o. E ɖɔ,Fi e nyɔ ɖεkpε do ɔ emi ɖokponɔ wε tun'
mɛ ɖe ɖo finɛ a,y a
mi n'abɔ̆,taisez-vous
kpɔ́n jĭ,regarde en haut
ee tɔ tɔn ku ɔ  yi agbomε,comme son père est mort  est parti à abomey
ta tɔn flí,il est déséquilibré
Mi ɖo awu ɖokpo ɔ lε,Nous étions habillés pareil .
un jɛ̀ nɛgbé tɔ̀n,il est mon aîné
Fifá ní tíin nú xwé élɔ́,Que la paix soit sur cette maison.
Nù vá d’áwu towe wú,Il y a une tache sur ta chemise.
ahwan là,deuxième cérémonie de sortie de l'enclos du vaudoun
Yèɖé nùsúnnú ɔ́,Assaisonne la sauce.
é nyɔn núyé ǎ,ils sont malades
jεɖutɔ́ - yɛhwesintɔ́,parrain
E ɖo lan xɔ wε,Il achète de la viande
Vì ɔ̀ flɛ́,L’enfant est tombé par mégarde.
fais un effort. Cela me fait du bien.,"Chaque jour, je dis "
kì - sɔ́ d'é mὲ - sɔ́ dŏ é mὲ - tì,fourrer
a do jiɖiɖe do wutu tɔn à,est
A nɔ ɖ'amlɔ ɖɔ wε hwebinu,Tu dors tout le temps !
fá xomɛ̀ dŏ mɛ wŭ,s'apaiser vis à vis de lui
Mɛ nàhún ba wɛ a ɖè ?,Qui cherches-tu exactement ?
mɛ fífá wɛ̀ un nyí bó nyí xomɛfátɔ́,je suis doux et humble de cœur
E nyla hun,Il est méchant.
Wɔxuxu butebu,Un pain entier
nyavi enɛ ɔ lɛ nu gbehɛn wɛ nyi ye,ces garçons sont insupportables
a jà ɖĕvo hŭn,la prochaine fois que tu viendras
"Dadá sín kpanlingán jɛ gbè lé ɔ́, to bì wɛ́ nɔ́ kplé","Si le gong kpanlingán du roi se met à retentir, tout le pays se rassemble."
Mì tlɛ́ dó mìɖéé wú syɛńsyɛ́n,Nous sommes très attachés l'un à l'autre.
Gbε ɔ mε nyɔ a.,Il fait un temps détestable 
"Un na ɖu wɔ, kpo wɔ vɔvɔ, kpo mɔlinkun, kpo abɔbɔ, kpo na nu sin kpεɖe","Je vais manger des pâtes, des pâtes rouges, du riz, des haricots et je vais boire un peu d’eau."
zàn já kúkú gbé,la nuit vient
Fofó cé hɛ́n alɔ ce cawùn,Mon grand frère a saisi ma main d’un seul coup.
Mawu ni blo nu mi ni kpe,Que Dieu nous fasse rencontrer.
